#NetProvision Error Code,Error Description,BIS Error Code,BIS Error Description,Origin,sevirity,business rule,BIS Error Name
198684,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
198688,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
199215,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
199217,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
199218,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
199228,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
205002,null,RM-NotImplemented-00082,Feature not supported.,NetProvision,0,0,ERR_RM_NET_PROVISION_NOT_IMPLEMENTED
205003,null,RM-NotImplemented-00082,Feature not supported.,NetProvision,0,0,ERR_RM_NET_PROVISION_NOT_IMPLEMENTED
205007,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
205009,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
205016,null,RM-InvalidData-01972,Missing required data-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_MISSING_DATA
205017,null,RM-NotImplemented-00082,Feature not supported.,NetProvision,0,0,ERR_RM_NET_PROVISION_NOT_IMPLEMENTED
205018,null,RM-ObjectNotFound-01974,Couldn’t find the requested object-Exception from NetProvision,NetProvision,0,0,ERR_RM_NET_PROVISION_OBJECT_NOT_FOUND
